Country Code,DB Name,Patent/Utility,Kind Code,Title,Abstract,\,No. of Claims,Application Number,Application Date,Unexamined Pub. Number,Unexamined Pub. Date,Granted Number,Granted Date,Applicant,Inventor,Priority Number,Priority Country,Priority Date,No. of Citation Reference (B1),Citation Reference (B1),No. of Forward Reference (F1),Forward Reference (F1),WIPS Family (Appl. Base),No. of WIPS Family (Appl. Base),"Status[KR,JP,EP]",Status[US],"Current Applicant[KR,JP,US]",WIPSGLOBAL KEY,Title(Keyword),Abstract(Keyword)
US,US,P,A1,Implementation of a Service Platform for an Online Peer-to-Peer (P2P) Lending Transaction,"Disclosed is a system and method for implementing a service platform to provide one or more services for an online loan transaction through an instance of a service facilitator engine. The services provided by the service facilitator engine enhance the user's experience when engaged in an online loan transaction or online P2P lending transaction. Further, the service facilitator engine ensures a safe and secure platform for transferring the loan amount to the registered borrower. The service platform tracks the repayment schedule of the registered borrower and credits rating based on the tracking information. Based on the credit rating of the registered borrower, registered lenders can authorize the registered borrowers to avail the loan facility.","1. A method for implementing a service platform to provide at least one service through an instance of a service facilitator engine after establishing an online loan transaction to enhance user's experience while engaged in said online loan transaction within a network, wherein the method comprises of: a) establishing said online loan transaction between at least one registered lender and at least one registered borrower based on the terms and conditions agreement accepted between said at least one registered lender and said at least one registered borrower;b) creating an instance of said service facilitator engine for said online loan transaction established between said at least one registered lender and said at least one registered borrower;c) activating said at least one service offered by said service facilitator engine to said at least one registered lender after transferring the loan amount to said at least one registered borrower as per the agreement decided for said online loan transaction; andd) availing at least one service provided by said service facilitator engine that is created for said online loan transaction.",10.0,14/476743,2014-09-04,2016-0071206,2016-03-10,,,Alexander Danieli,Alexander  Danieli,,,,0.0,,0.0,,US2016-0071206A1,1,,,,5416010004721,"['service platform', 'lending transaction', 'online peer', 'peer', 'p2p', 'implementation']","['online p2p lending transaction', 'service facilitator engine ensures', 'service facilitator engine enhance', 'service facilitator engine', 'online loan transaction', 'service platform tracks', 'credits rating based', 'service platform', 'credit rating', 'secure platform', 'loan facility', 'loan amount', 'tracking information', 'repayment schedule', 'registered lenders', 'registered borrowers', 'registered borrower', 'provide one', 'services provided', 'based', 'services', 'user', 'transferring', 'system', 'safe', 'method', 'instance', 'implementing', 'experience', 'engaged', 'disclosed', 'avail', 'authorize']"
US,US,P,A1,"BENEFICIARY INITIATED P2P, P2B PAYMENT MODEL","A system and method that allows a Payee to request payment from a Payor is disclosed. The system allows the Payee to issue an invoice in electronic form detailing the payment request to the Payor. The system further allows the Payor to pay the invoice using a suitable payment means, such as a credit card, without requiring any infrastructure investment on the part of the Payee. Finally, the system does not require that the Payee receive funds from the Payor in a specific account that is associated with the system. The system allows the Payee to receive their funds in any account specified by the Payee.","1. A method of issuing an invoice and receiving payment comprising: receiving from a first user an invoice requesting a payment from a second user, wherein the invoice contains contact information for the second user; sending the invoice to the second user, wherein sending the invoice includes providing instructions for paying the invoice using a transaction account associated with the second user; requesting funds from an issuer of the transaction account associated with the second user, wherein the funds are drawn from an account associated with the second user's transaction account; receiving funds from the issuer of the transaction account associated with the second user; and transferring the received funds to an issuer of a transaction account specified by the first user, wherein the funds are deposited to the transaction account specified by the first user.",18.0,12/425046,2009-04-16,2010-0082466,2010-04-01,,,,Mark Carlson | Surendra Keshan,,,,0.0,,1.0,US10078832B2,AU2009296472A1 | BRPI0919115A2 | CA2738497A1 | US2010-0082466A1 | US2010-0082467A1 | US61/100595 | WOWO2010-036863A2,7,,,,5410013004943,"['p2b payment model', 'beneficiary initiated p2p']","['electronic form detailing', 'suitable payment means', 'payee receive funds', 'request payment', 'payment request', 'without requiring', 'specific account', 'infrastructure investment', 'credit card', 'account specified', 'invoice using', 'system allows', 'receive', 'payee', 'funds', 'system', 'invoice', 'allows', 'require', 'payor', 'pay', 'part', 'method', 'issue', 'finally', 'disclosed', 'associated']"
PCT,PCT,P,A1,SYSTEM FOR MANAGING P2P LENDING FUND BY FINANCIAL INSTITUTION,"A system for managing a P2P lending fund by a financial institution according to the present invention comprises: an investor ledger management portion for receiving an investor list of investors (the investor list includes at least one selected from the investment management number, name, resident's registration number, contact, address, and designated withdrawal account number of the investors) from a P2P platform that has made a fund management contract with the financial institution, and generating and managing an investor ledger according to the investment management number of the investors; a loan payment management portion configured such that, upon receiving a fundraising matching list of investors who have purchased a right to collect the principal and interest by investing in a lending product corresponding to a lending contract, from the P2P platform, and upon receiving a borrower lending ledger information generated by a money lender according to a lending contract between the borrower and the money lender under mediation of the P2P platform, the loan payment management portion transfers loan to the account of the borrower on the basis of the lending ledger; and a lending ledger management portion for matching and managing investor ledges of investors included in the lending ledger and the fundraising matching list. The system according to the present invention may be characterized in that the money lender makes a lending contract with the borrower under mediation of the P2P platform, generates a lending ledger, and registers selling of the right to collect the principal and interest in the P2P platform, and the P2P platform sells the right to collect the principal and the interest corresponding to an investment application of the investors to the investors.",,,PCT-KR2018-002216,2018-02-22,WO2018-155937,2018-08-30,,,"JB FINANCIAL CO., LTD.","CHOI, Sue Yeol",10-2017-0025090 | 10-2017-0079461,KR | KR,2017-02-24 | 2017-06-23,,,,,KR10-2017-0025090 | KR10-2018-0098105A | WOWO2018-155937A1,3,,,,6018035003468,"['managing p2p lending fund', 'financial institution', 'system']","['loan payment management portion transfers loan', 'loan payment management portion configured', 'borrower lending ledger information generated', 'lending ledger management portion', 'investor ledger management portion', 'designated withdrawal account number', 'investment management number', 'fund management contract', 'investor ledger according', 'present invention may', 'present invention comprises', 'least one selected', 'p2p lending fund', 'lending product corresponding', 'investor list includes', 'money lender makes', 'p2p platform sells', 'money lender according', 'managing investor ledges', 'financial institution according', 'fundraising matching list', 'lending ledger', 'lending contract', 'investor list', 'money lender', 'p2p platform', 'registration number', 'financial institution', 'investment application', 'system according', 'registers selling', 'interest corresponding', 'upon receiving', 'investors included', 'borrower', 'account', 'matching', 'managing', 'system', 'receiving', 'investors', 'interest', 'right', 'resident', 'purchased', 'principal', 'name', 'mediation', 'made', 'investing', 'generating', 'generates', 'contact', 'collect', 'characterized', 'basis', 'address']"
PCT,PCT,P,A1,P2P INVESTMENT INTERMEDIATING MATCHING SYSTEM,"The present invention provides a peer-to-peer investment intermediating matching system, which resolves a problem of conventional inventions, and issues a bond certificate in the form of a virtual currency with respect to an investment of an investor and then matches investment requirements of the investor and loan requirements of a debtor so as to intermediate the investment, and, when an investment withdrawal and the like is required within a period, searches for and matches investment requirements between investors and then transfers bonds in the form of a bond transfer through the virtual currency, so as to enable the investment to be freely withdrawn.",,,PCT-KR2017-008817,2017-08-14,WO2018-038446,2018-03-01,,,"KIM, Sinae | KIM, Keonho","KIM, Sinae | KIM, Keonho",10-2016-0108019,KR,2016-08-24,,,,,KR10-1842276B1 | KR10-1880734B1 | KR10-1880736B1 | KR10-1880738B1 | KR10-1880740B1 | KR10-1880746B1 | KR10-1880749B1 | KR10-1902732B1 | KR10-1902733B1 | KR10-1902734B1 | KR10-1902735B1 | KR10-1902736B1 | KR10-1902737B1 | WOWO2018-038446A1,14,,,,6018009003018,['p2p investment intermediating matching system'],"['peer investment intermediating matching system', 'present invention provides', 'matches investment requirements', 'investment withdrawal', 'loan requirements', 'virtual currency', 'transfers bonds', 'required within', 'freely withdrawn', 'conventional inventions', 'bond transfer', 'bond certificate', 'peer', 'investment', 'searches', 'respect', 'resolves', 'problem', 'period', 'like', 'issues', 'investors', 'investor', 'intermediate', 'form', 'enable', 'debtor']"
PCT,PCT,P,A1,CREDIT PAYMENT METHOD AND DEVICE BASED ON MOBILE TERMINAL P2P,"A credit payment method and device based on a mobile terminal P2P. The method comprises: receiving transaction information sent by a transaction terminal (S310); generating transaction response information according to the transaction information, and sending the transaction response information to the transaction terminal (S320); receiving money deducting acceptance request information, sent by the transaction terminal, about a current payment transaction (S330); generating, according to the money deducting acceptance request information and the transaction response information, an application private key generation payment authority permission in a mobile terminal (S340); and sending the payment authority permission to the transaction terminal (S350). When a user opens a payment application, the off-line credit payment of a transaction terminal can be completed by using a mobile terminal, so that the payment transaction can be completed quickly and safely.",,,PCT-CN2017-071251,2017-01-16,WO2017-128975,2017-08-03,,,ALIBABA GROUP HOLDING LIMITED,"CHEN, Xing | WANG, Lei | LAN, Jie",2016-10049675,CN,2016-01-25,,,,,CN106997527A | SG11201806344VA | TW201730819A | WOWO2017-128975A1,4,,,,6017031001127,"['mobile terminal p2p', 'credit payment method', 'device based']","['s320 ); receiving money deducting acceptance request information', 'application private key generation payment authority permission', 's310 ); generating transaction response information according', 'money deducting acceptance request information', 'receiving transaction information sent', 'payment authority permission', 'transaction response information', 's330 ); generating', 'current payment transaction', 'line credit payment', 'credit payment method', 'transaction information', 'mobile terminal p2p', 'payment application', 's340 );', 'payment transaction', 'transaction terminal', 'mobile terminal', 'method comprises', 'user opens', 's350 ).', 'device based', 'according', 'completed quickly', 'sent', 'completed', 'using', 'sending', 'safely']"
PCT,PCT,P,A2,"NEW BENEFICIARY INITIATED P2P, P2B PAYMENT MODEL","A system and method that allows a Payee to request payment from a Payor is disclosed. The system allows the Payee to issue an invoice in electronic form detailing the payment request to the Payor. The system further allows the Payor to pay the invoice using a suitable payment means, such as a credit card, without requiring any infrastructure investment on the part of the Payee. Finally, the system does not require that the Payee receive funds from the Payor in a specific account that is associated with the system. The system allows the Payee to receive their funds in any account specified by the Payee.","1. A method of issuing an invoice and receiving payment comprising: receiving from a first user an invoice requesting a payment from a second user, wherein the invoice contains contact information for the second user; sending the invoice to the second user, wherein sending the invoice includes providing instructions for paying the invoice using a transaction account associated with the second user; requesting funds from an issuer of the transaction account associated with the second user, wherein the funds are drawn from an account associated with the second user's transaction account; receiving funds from the issuer of the transaction account associated with the second user; and transferring the received funds to an issuer of a transaction account specified by the first user, wherein the funds are deposited to the transaction account specified by the first user.",,PCT-US2009-058327,2009-09-25,WO2010-036863,2010-04-01,,,VISA INTERNATIONAL SERVICE ASSOCIATION,"CARLSON, Mark | KESHAN, Surendra",61/100595 | 12/425046,US | US,2008-09-26 | 2009-04-16,,,,,AU2009296472A1 | BRPI0919115A2 | CA2738497A1 | US2010-0082466A1 | US2010-0082467A1 | US61/100595 | WOWO2010-036863A2,7,,,,6010013003737,"['new beneficiary initiated p2p', 'p2b payment model']","['electronic form detailing', 'suitable payment means', 'payee receive funds', 'request payment', 'payment request', 'without requiring', 'specific account', 'infrastructure investment', 'credit card', 'account specified', 'invoice using', 'system allows', 'receive', 'payee', 'funds', 'system', 'invoice', 'allows', 'require', 'payor', 'pay', 'part', 'method', 'issue', 'finally', 'disclosed', 'associated']"
PCT,PCT,P,A3,"NEW BENEFICIARY INITIATED P2P, P2B PAYMENT MODEL","A system and method that allows a Payee to request payment from a Payor is disclosed. The system allows the Payee to issue an invoice in electronic form detailing the payment request to the Payor. The system further allows the Payor to pay the invoice using a suitable payment means, such as a credit card, without requiring any infrastructure investment on the part of the Payee. Finally, the system does not require that the Payee receive funds from the Payor in a specific account that is associated with the system. The system allows the Payee to receive their funds in any account specified by the Payee.",,,PCT-US2009-058327,2009-09-25,WO2010-036863,2010-04-01,,,VISA INTERNATIONAL SERVICE ASSOCIATION,"CARLSON, Mark | KESHAN, Surendra",61/100595 | 12/425046,US | US,2008-09-26 | 2009-04-16,,,,,AU2009296472A1 | BRPI0919115A2 | CA2738497A1 | US2010-0082466A1 | US2010-0082467A1 | US61/100595 | WOWO2010-036863A2,7,,,,6010026003603,"['new beneficiary initiated p2p', 'p2b payment model']","['electronic form detailing', 'suitable payment means', 'payee receive funds', 'request payment', 'payment request', 'without requiring', 'specific account', 'infrastructure investment', 'credit card', 'account specified', 'invoice using', 'system allows', 'receive', 'payee', 'funds', 'system', 'invoice', 'allows', 'require', 'payor', 'pay', 'part', 'method', 'issue', 'finally', 'disclosed', 'associated']"
JP,JP,P,A ,A P2P resource loan support method and a system,"[ABSTRACT] [Technical problem] A resource request person searches the optimal resource donor with P2P matching in respect of the conditions of a schedule, a quality of service, and others, and a resource donor also supports the loan of the reasonable resource which can disclose an offer resource. [Means for Solution]A schedule in which a volunteer given in schedule book 5 of a volunteer purveyor of service is possible is changed into volunteer service offer filter information (semantic information) with a schedule book / filter conversion device 6, and is set as the semantic information network 2 as a filter. The filter 7 is set up as a reception function of the volunteer purveyor-of-service terminal 3. The volunteer service request person terminal 4 sends out a volunteer purveyor-of-service search event to the semantic information network 2. If the filter 7 ignites in the event, the terminal 3 will carry out autonomous starting and will transmit the data of a possible schedule to the terminal 4. A remote volunteer etc. will be performed if matching is materialized between the terminal 3 and the terminal 4. [Chosen drawing] figure 1 ","[Claim1]When the event which is the packet which was installed in each terminal on IP communications network and IP communications network, and gave semantic information to the header is received, The semantic information network to which semantic information is transmitted according to routing table information with the filter which is the semantic information currently held inside, In the system which has a volunteer purveyor-of-service terminal, a volunteer service request person terminal, a schedule book, and a schedule book / filter conversion device, The step which changes into volunteer service offer filter information the schedule book which indicated the schedule in which volunteer of a volunteer purveyor of service is possible with the above-mentioned schedule book / filter conversion device, The step which sets the volunteer service offer filter information as the above-mentioned semantic information network and the above-mentioned volunteer purveyor-of-service terminal as a filter, The step at which the above-mentioned volunteer service request person terminal sends out a volunteer purveyor-of-service search event to the above-mentioned semantic information network, and the step to which the above-mentioned filter ignites in the event, A P2P resource loan support method which has a step which the above-mentioned volunteer purveyor-of-service terminal of connection with the above-mentioned filter carries out autonomous starting, and transmits the data of the schedule in which the volunteer is possible to the volunteer service request person terminal.",12.0,2003-159160,2003-06-04,2004-362214,2004-12-24,,,NIPPON TELEGR & TELEPH CORP <NTT>,上田  清志 | 岩田  哲弥,,,,0.0,,0.0,,JP2004-362214A,1,Withdrawn,,,2204050004714,"['p2p resource loan support method', 'system']","['volunteer service request person terminal 4 sends', 'resource request person searches', 'volunteer service offer filter information', 'filter conversion device 6', 'semantic information network 2', 'resource donor also supports', 'service terminal 3', 'remote volunteer etc', 'optimal resource donor', 'service search event', 'filter 7 ignites', 'terminal 4', 'schedule book 5', 'semantic information', 'offer resource', 'terminal 3', 'volunteer purveyor', 'volunteer given', 'filter 7', 'reasonable resource', 'schedule book', 'technical problem', 'reception function', 'figure 1', 'chosen drawing', 'autonomous starting', 'service', 'possible schedule', 'p2p matching', 'filter', 'schedule', 'event', 'possible', 'matching', 'transmit', 'solution', 'set', 'respect', 'quality', 'performed', 'others', 'means', 'materialized', 'loan', 'disclose', 'data', 'conditions', 'changed', 'carry', 'abstract']"
KR,KR,P,B1,P2P mediation system for providing investor mediation service based on online credit review and lending condition judgment(온라인 신용 심사 및 대출조건 판단에 기반하여 투자자 중개 서비스를 제공하는 P2P 중개 시스템),"The present invention relates to a peer-to-peer (P2P) investment mediation and matching platform. The present invention comprises: an investor terminal (120) used by at least one investor (10); a debtor terminal (130) used by at least one debtor (20); and a P2P investment mediation and matching platform server (110) connected with the investor terminal and debtor terminal. The P2P investment mediation and matching platform (110) includes: a step (S1) of receiving an investment along with investment conditions including at least one among an investment amount, profit rate, and investment period through the investor terminal (120); a step (S2) of issuing electronic money for the investment to the investor terminal (120); a step (S3) of receiving a loan request along with loan conditions including at least one among a loan amount, interest rate, and loan period through the debtor terminal (130); and a step (S4) of matching and selecting the investment conditions and loan conditions, and then, giving the loan to the debtor (20) through the debtor terminal (130) in accordance with the selected investment and loan conditions.","The provision (S4) the loan money through the debtor terminal (130) to the debtor (20) according to the condition of investment which after receives the loan application in which the condition of loan receiving the investment investment in which the condition of investment is added the transmission (S1) and includes with respect to this, the publication (S2) the e-cash about the investment investment about the investor terminal (120), and the loan amount through the debtor terminal (130), and any one or greater among the interest and loan period is added the transmission (S3) it does the condition of investment and condition of loan with the matching (matching) and is selected after doing the selection. And condition of loan which comprise one or more investor (10) fields is the respective investor terminal (120) using, the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110) in which one or more debtor (20) fields are connected through the respective debtor terminal (130) using, and the respective communications network, and the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110), is the investing amount through the investor terminal (120), and any one or greater among the return on investment and investment period it is comprised of the banking facility`s server (140) connected through the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110) and communications network With the investor terminal (120a) of request for the early withdrawal the investor (10a) the early withdrawal gold the provision (S25) this request for the early withdrawal the investor (10a) to collect the investment performs the case delivering request for the early withdrawal (S21) in the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110), and request for the call redemption and the call redemption matching (S22) that applies request for the early withdrawal with the matching (matching) and selected through its own investor terminal (120a) and or the call redemption debtor (20a) to previously repay early the loan money among the debtor (20) the loan period expiration receives the debt gold the call redemption debtor and request for the early withdrawal the investor request for the call redemption (S20) through its own debtor terminal (130a) in the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110) in case the transfers after doing the selection from the selected call redemption debtor (20a) through the debtor terminal (130a) of the call redemption debtor (20a) with the call redemption (S24). The investment mediation matching platform which is based on the online credit examination and condition of loan determination and provides the investor dealing services, wherein the peer-to-peer (P2P: peer To Peer) investment mediation matching platform server (110) the loan status information of the debtor (20) which it is delivered in the condition of loan through the banking facility`s server (140) further is included and the loan status information uses (100).",1.0,10-2018-0030325,2018-03-15,10-2018-0030496,2018-03-23,10-1902734,2018-09-19,"KIM, Si Nae | KIM KEON HO","KIM, Si Nae | KIM KEON HO",,,,3.0,KR10-0777397B1(BE) | KR10-2003-0068326A(BE) | KR10-0442812B1(BE),0.0,,KR10-1842276B1 | KR10-1880734B1 | KR10-1880736B1 | KR10-1880738B1 | KR10-1880740B1 | KR10-1880746B1 | KR10-1880749B1 | KR10-1902732B1 | KR10-1902733B1 | KR10-1902734B1 | KR10-1902735B1 | KR10-1902736B1 | KR10-1902737B1 | WOWO2018-038446A1,14,Granted,,김시내 | 김건호,3518402001713,"['온라인 신용 심사 및 대출조건 판단에 기반하여 투자자 중개 서비스를 제공하는 p2p 중개 시스템', 'providing investor mediation service based', 'p2p mediation system', 'online credit review', 'lending condition judgment']","['present invention relates', 'present invention comprises', 'least one among', 'issuing electronic money', 'least one investor', 'least one debtor', 'loan request along', 'loan conditions including', 'investment conditions including', 'matching platform server', 'p2p investment mediation', 'loan conditions', 'investment mediation', 'investment conditions', 'investment along', 'matching platform', 'investor terminal', 'loan period', 'loan amount', 'selected investment', 'investment period', 'investment amount', 'profit rate', 'interest rate', 'debtor terminal', '10 );', '20 );', '130 );', '120 );', 'loan', 'investment', 'p2p', 'matching', 'debtor', '20', '130', '120', 'used', 'step', 'selecting', 's4', 's3', 's2', 's1', 'receiving', 'peer', 'includes', 'giving', 'connected', 'accordance', '110']"
KR,KR,P,B1,Lease renewal system and method based on P2P loan between tenants of joint rental house(임대주택의 임차인 간 P2P 대출에 따른 임대차 재계약시스템 및 방법)," The invention relates to the lease renewal system according to the P2P loan between the tenant of the rental apartment and method, and more particularly to the system and the method for receiving *** LILO loan in the magnetic portion dipping and reflecting the loan money according to the above and interest between the tenant living in the rental apartment and re-creating the lease contract document. The lease renewal system according to the P2P loan between tenant of the rental apartment according to a preferred embodiment of the present invention inputs the condition of loan connecting to the P2P agent server and includes the loan money which oneself rents. It inputs the condition of loan connecting to the owner of a car tenant terminal, which the renewal rental contract according to the loan is carried out in case of receiving the loan money from the lender tenant and pays the rent of the phase and P2P agent server and includes the loan money which oneself lends. It the lease administration server and the condition of loan re-creating the lease contract document reflecting the condition of loan of the lender tenant terminal, which the renewal rental contract according to the loan is carried out while paying the loaned money to the account of the owner of a car tenant if the loan contract being realized and pays the rent of the phase and loan contract document has each element of the condition of loan as the multi-shaft and it makes as a vector to the multi-dimensional. And it matches the condition of loan of the lender and owner of a car on this multidimension vector and it is comprised of the owner of a car tenant terminal and the P2P agent server connecting the lender tenant terminal and makes the loan contract document. ","It is the terminal which the tenant moving in the rental apartment uses. The condition of loan connecting to the P2P agent server and includes the loan money which *** LILO oneself of 5~10% interest rent (it lends)s is inputted. It is the terminal which the multiple owner of a car tenant terminals: tenant moving in the rental apartment uses the renewal rental contract according to the loan is carried out in case of receiving the loan money from the lender tenant and pays the rent (monthly rent) of the phase. The condition of loan connecting to the P2P agent server and includes the loan money which *** LILO oneself of 5~10% interest lends is inputted. It is the multiple lender tenant terminals: server managing the rental apartment. The renewal rental contract according to the loan is carried out while paying the loaned money to the account of the owner of a car tenant if the loan contract being realized and pays the rent (monthly rent) of the phase the lease administration server: re-creating the lease contract document reflecting the condition of loan of the loan contract document and the condition of loan operating with the lease administration server and is inputted has each element of the condition of loan as the multi-shaft and it makes as a vector to the multi-dimensional. The lease renewal system according to the P2P loan between the tenant of the rental apartment, wherein the lease administration server the owner of a car tenant terminal and the P2P agent server which receives the commission according to the same makes the loan contract document the loan which the tenant goes is realized connects the lender tenant terminal are included the condition of loan of the lender and owner of a car is matched on this multidimension vector it reflects to the loan money among the condition of loan to the lender and owner of a car to the sensitization of the lease security money ; it reflects to the owner of a car and lender to the sensitization of the rent (monthly rent) and the lease contract document is re-created to the interest ; and it matches with the P2P agent server until the y (interest) matches from the three-dimension vector of the most low lender and the loan money (x wanted) of the loan money total (x 1+x 2+…+x k) &#x02265; owner of a car of the three-dimension vector of the lender matched becomes the loan money (X-axis), the loan period (Z-axis), and the interest (Y-axis) among the condition of loan to 3 shaft about the three-dimension vector of the lender in which the loan period is the z min z z max in case the loan period of the owner of a car is the z min z z max.",9.0,10-2017-0038966,2017-03-28,,,10-1887476,2018-08-06,"Ondongne PMC Co., Ltd",KIM Young Man | CHOE HO RIM | CHOE BYOUNG JIN,,,,4.0,KR10-2014-0131297A(BE) | KR10-0976518B1(BE) | KR10-0849744B1(BE) | KR10-2004-0099975A(BE),0.0,,KR10-1887476B1,1,Granted,,온동네피엠씨 주식회사,3518332000809,"['임대주택의 임차인 간 p2p 대출에 따른 임대차 재계약시스템 및 방법', 'lease renewal system', 'joint rental house', 'p2p loan', 'method based', 'tenants']","['renewal rental contract according', 'lease renewal system according', 'receiving *** lilo loan', 'p2p agent server connecting', 'lease contract document reflecting', 'lease contract document', 'p2p agent server', 'lease administration server', 'rental apartment according', 'magnetic portion dipping', 'loan contract document', 'loan money according', 'present invention inputs', 'lender tenant terminal', 'car tenant terminal', 'loan contract', 'rental apartment', 'p2p loan', 'loan connecting', 'loan money', 'invention relates', 'loaned money', 'tenant living', 'lender tenant', 'car tenant', 'preferred embodiment', 'oneself rents', 'oneself lends', 'multidimension vector', 'system', 'reflecting', 'receiving', 'loan', 'tenant', 'lender', 'inputs', 'car', 'vector', 'shaft', 'rent', 'realized', 'phase', 'pays', 'paying', 'particularly', 'owner', 'multi', 'method', 'matches', 'makes', 'interest', 'includes', 'element', 'dimensional', 'creating', 'condition', 'comprised', 'case', 'carried', 'account']"
